ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0812521129,Children of the Night,Mercedes Lackey,1990,Tor Books,http://images.amazon.com/images/P/0812521129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812521129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812521129.01.LZZZZZZZ.jpg
0345251733,Rainbow the Stormy Life of Judy Garland,Christopher Finch,0,Ballantine Books,http://images.amazon.com/images/P/0345251733.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345251733.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345251733.01.LZZZZZZZ.jpg
1400077826,Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,2003,Vintage,http://images.amazon.com/images/P/1400077826.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400077826.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400077826.01.LZZZZZZZ.jpg
0312995431,A Fountain Filled With Blood (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2004,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312995431.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312995431.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312995431.01.LZZZZZZZ.jpg
0312312628,Out of the Deep I Cry : A Clare Fergusson/Russ Van Alstyne Mystery,Julia Spencer-Fleming,2004,St. Martin's Minotaur,http://images.amazon.com/images/P/0312312628.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312312628.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312312628.01.LZZZZZZZ.jpg
0446394521,Daisy Fay and the Miracle Man,Fannie Flagg,1992,Warner Books,http://images.amazon.com/images/P/0446394521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446394521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446394521.01.LZZZZZZZ.jpg
0590021117,Little House On the Prairie,Laura Ingall Wilder,0,Scholastic Inc,http://images.amazon.com/images/P/0590021117.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590021117.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590021117.01.LZZZZZZZ.jpg
068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/068484267X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg
0553578693,The Next Accident,LISA GARDNER,2002,Bantam,http://images.amazon.com/images/P/0553578693.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553578693.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553578693.01.LZZZZZZZ.jpg
0380709260,Socks (Cleary Reissue),Beverly Cleary,1990,HarperTrophy,http://images.amazon.com/images/P/0380709260.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380709260.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380709260.01.LZZZZZZZ.jpg
0807565288,"The Pet Shop Mystery (Boxcar Children Special (Paper), No 7)",Gertrude Chandler Warner,1996,Albert Whitman &amp; Company,http://images.amazon.com/images/P/0807565288.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807565288.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807565288.01.LZZZZZZZ.jpg
0312986769,In the Bleak Midwinter (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2003,St. Martin's Minotaur,http://images.amazon.com/images/P/0312986769.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312986769.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312986769.01.LZZZZZZZ.jpg
0345413377,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2001,Del Rey,http://images.amazon.com/images/P/0345413377.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345413377.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413377.01.LZZZZZZZ.jpg
0345413369,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,1998,Del Rey,http://images.amazon.com/images/P/0345413369.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345413369.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413369.01.LZZZZZZZ.jpg
0679893105,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1998,Knopf Books for Young Readers,http://images.amazon.com/images/P/0679893105.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679893105.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679893105.01.LZZZZZZZ.jpg
0061096091,Eyeshot,Lynn S. Hightower,1997,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0061096091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061096091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061096091.01.LZZZZZZZ.jpg
0345369068,"If Ever I Return, Pretty Peggy-O",Sharyn McCrumb,1991,Fawcett Books,http://images.amazon.com/images/P/0345369068.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345369068.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345369068.01.LZZZZZZZ.jpg
0451184718,The Rosewood Casket,Sharyn McCrumb,1997,Signet Book,http://images.amazon.com/images/P/0451184718.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451184718.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451184718.01.LZZZZZZZ.jpg
0449209121,The Amazing Mrs. Pollifax,Dorothy Gilman,1992,Fawcett Books,http://images.amazon.com/images/P/0449209121.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449209121.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449209121.01.LZZZZZZZ.jpg
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial,http://images.amazon.com/images/P/0060938455.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060938455.01.LZZZZZZZ.jpg
080411952X,The Unsung Hero,Suzanne Brockmann,2000,Ivy Books,http://images.amazon.com/images/P/080411952X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080411952X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080411952X.01.LZZZZZZZ.jpg
