ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0446529206,Jesus Loves Me: Celebrating the Profound Truths of a Simple Hymn,Calvin Miller,2002,Warner Faith,http://images.amazon.com/images/P/0446529206.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446529206.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446529206.01.LZZZZZZZ.jpg
0553482297,"Night of the Werewolf (Choose Your Own Nightmare, No 1)",Edward Packard,1995,Skylark Books,http://images.amazon.com/images/P/0553482297.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553482297.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553482297.01.LZZZZZZZ.jpg
0786810114,The Santa Clause,Daphne Skinner,1994,Hyperion Books for Children,http://images.amazon.com/images/P/0786810114.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786810114.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786810114.01.LZZZZZZZ.jpg
047104444X,Nature in a Nutshell for Kids : Over 100 Activities You Can Do in Ten Minutes or Less,Jean  Potter,1995,Wiley,http://images.amazon.com/images/P/047104444X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/047104444X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/047104444X.01.LZZZZZZZ.jpg
0932085253,Encountering Jesus at Mass: The Treasure of Prayer and the Eucharist (Practical Christian Living (Paperback)),Jeff Smith,1999,Word Among Us Press,http://images.amazon.com/images/P/0932085253.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0932085253.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0932085253.01.LZZZZZZZ.jpg
0061009571,The Wilderness Road,James Reasoner,1996,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0061009571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061009571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061009571.01.LZZZZZZZ.jpg
0671528866,LASSITER,Zane Loren Grey,1985,Pocket,http://images.amazon.com/images/P/0671528866.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671528866.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671528866.01.LZZZZZZZ.jpg
0671451219,DAY FOR DAMNATION (War Against the Chtorr),David Gerrold,1985,Pocket,http://images.amazon.com/images/P/0671451219.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671451219.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671451219.01.LZZZZZZZ.jpg
0748661905,Little Nineveh,Dexter Petley,1997,Polygon,http://images.amazon.com/images/P/0748661905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0748661905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0748661905.01.LZZZZZZZ.jpg
0821726897,Last Ride to Rocky Mesa,Jack Aintry,1989,Kensington Pub Corp (Mm),http://images.amazon.com/images/P/0821726897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821726897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821726897.01.LZZZZZZZ.jpg
0671451200,"A Matter for Men (The War Against the Chtorr Series, Book 1)",David Gerrold,1984,Pocket,http://images.amazon.com/images/P/0671451200.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671451200.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671451200.01.LZZZZZZZ.jpg
0671731947,NEW PRITIKIN PROGRAM,Robert Pritikin,1991,Pocket,http://images.amazon.com/images/P/0671731947.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671731947.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671731947.01.LZZZZZZZ.jpg
0964996804,One Tattered Angel: A True Story,Blaine M. Yorgason,1995,Gentle Breeze Publishing Company,http://images.amazon.com/images/P/0964996804.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0964996804.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0964996804.01.LZZZZZZZ.jpg
0812571363,How Like a God,Brenda W. Clough,1998,Tor Books (Mm),http://images.amazon.com/images/P/0812571363.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812571363.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812571363.01.LZZZZZZZ.jpg
0877472971,The sons of Mosiah,Mark E Petersen,1984,Deseret Book,http://images.amazon.com/images/P/0877472971.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0877472971.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0877472971.01.LZZZZZZZ.jpg
0874345952,Handbook of Medical-Surgical Nursing,Springhouse Publishing,1993,Lippincott Williams &amp; Wilkins,http://images.amazon.com/images/P/0874345952.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0874345952.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0874345952.01.LZZZZZZZ.jpg
3596252415,Das Goldene Notizbuch,Doris Lessing,0,Fischer Taschenbuch Verlag,http://images.amazon.com/images/P/3596252415.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3596252415.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3596252415.01.LZZZZZZZ.jpg
0877479658,Solo: The Miraculous Story of a Woman Who Refused to Give Up,Patricia O'Brien King,1983,Deseret Book Co,http://images.amazon.com/images/P/0877479658.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0877479658.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0877479658.01.LZZZZZZZ.jpg
